Lattitude,Longitude,Distance,speed,heartRate
-37.851097,145.113129,0.759482,0.775774,70
-37.851093,145.113129,0.379741,0.379741,70
-37.851089,145.113129,0.759482,0.762533,70
-37.851089,145.113129,0.759482,0.762533,72
-37.851082,145.113129,0.759482,0.379741,70
-37.851074,145.113129,0.759482,0.762533,71
-37.851067,145.113129,0.759482,0.758724,71
-37.851067,145.113129,0.759482,0.758724,68
-37.85107,145.113113,1.258067,0.628719,68
-37.851074,145.113098,2.428646,2.428646,72
-37.851074,145.113083,1.199387,1.198189,71
-37.851078,145.113068,1.258067,1.261853,71
-37.851074,145.113068,0.379741,0.380502,69
-37.851078,145.113068,0.379741,0.380502,69
-37.851082,145.113068,0.379741,0.378605,71
-37.851082,145.113052,1.199387,1.199387,70
-37.851078,145.113052,0.379741,0.377852,68
-37.851067,145.113052,1.139224,1.143799,68
-37.851078,145.113052,1.139224,1.133556,69
-37.851078,145.113052,1.139224,1.133556,71
-37.851078,145.113022,2.398774,1.198189,68
-37.851074,145.113022,0.379741,0.380121,71
-37.851074,145.113007,1.199387,1.198189,70
-37.851074,145.113007,1.199387,1.198189,71
-37.851074,145.112991,1.199387,0.599394,72
-37.85107,145.112991,0.379741,0.380884,68
-37.851067,145.112976,2.428646,2.42622,72
-37.851067,145.112976,2.428646,2.42622,73
-37.851063,145.112976,0.379741,0.190825,70
-37.851063,145.112976,0.379741,0.190825,72
-37.851063,145.112976,0.379741,0.190825,70
-37.851067,145.112991,2.428647,0.807664,72
-37.851063,145.113007,1.258067,1.258067,73
-37.851063,145.113007,1.258067,1.258067,72
-37.851059,145.113022,1.419628,0.710169,73
-37.851055,145.113022,0.379741,0.380121,73
-37.851055,145.113022,0.379741,0.380121,71
-37.851051,145.113037,1.258068,0.629349,71
-37.851048,145.113052,1.258068,1.255557,73
-37.851048,145.113052,1.258068,1.255557,71
-37.851048,145.113068,1.199388,0.600896,69
-37.851048,145.113068,1.199388,0.600896,73
-37.851051,145.113083,1.258068,0.629349,70
-37.851055,145.113083,0.379741,0.380884,68
-37.851067,145.113083,1.518965,1.508406,71
-37.851078,145.113068,1.654195,1.66418,70
-37.851086,145.113068,0.759482,0.758724,70
-37.851089,145.113068,0.379741,0.382033,71
-37.851086,145.113068,0.379741,0.378983,71
-37.851086,145.113068,0.379741,0.378983,69
-37.851082,145.113083,1.258067,0.628405,70
-37.851082,145.113083,1.258067,0.628405,73
-37.851086,145.113083,0.379741,0.189776,70
-37.851082,145.113083,0.379741,0.379741,72
-37.851082,145.113083,0.379741,0.379741,73
-37.851074,145.113113,3.774201,12.622747,73
-37.851074,145.113113,3.774201,12.622747,68
-37.851074,145.113113,3.774201,12.622747,69
-37.851074,145.113113,3.774201,12.622747,72
-37.851078,145.113113,0.379741,0.094983,68
-37.851074,145.113113,0.379741,0.379362,69
-37.851078,145.113113,0.379741,0.380502,69
-37.851078,145.113113,0.379741,0.380502,72
-37.851082,145.113113,0.379741,0.189871,73
-37.851086,145.113113,0.379741,0.378983,73
-37.851089,145.113113,0.379741,0.381266,71
-37.851089,145.113113,0.379741,0.381266,72
-37.851093,145.113113,0.759482,0.379172,70
-37.851093,145.113113,0.759482,0.379172,70
-37.851089,145.113113,0.759482,0.380312,72
-37.851093,145.113113,0.759482,0.759482,71
-37.851093,145.113113,0.759482,0.759482,70
-37.851097,145.113113,0.379741,0.190061,70
-37.851097,145.113113,0.379741,0.190061,72
-37.851097,145.113113,0.379741,0.190061,71
-37.851101,145.113113,0.379741,0.126496,71
-37.851105,145.113113,0.379741,0.380884,70
-37.851112,145.113129,1.419627,1.419627,69
-37.851116,145.113144,1.258067,1.250563,72
-37.85112,145.113144,0.379741,0.382033,71
-37.851124,145.113144,0.379741,0.379741,71
-37.851124,145.113144,0.379741,0.379741,68
